round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
800,0.0037001765936751055,0.0036985094,0.9304816,0.003502790117636323,0.0035011224,0.93740433,relu,128,800,mean_absolute_error,Nadam
1200,1.676338013365037e-05,0.0021737805,0.9759088,1.4958805877540726e-05,0.0020088903,0.9777314,relu,64,1200,mean_squared_error,RMSProp
400,0.15515751794532492,0.0035370814,0.93754864,0.15385574102401733,0.0033405004,0.94318026,relu,64,400,binary_crossentropy,RMSProp
400,0.6869619837513676,0.45579773,0.00030238263,0.6869666576385498,0.45632628,0.00027835768,relu,64,400,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.21169921590222252,0.45803913,0.00028146437,0.21211647987365723,0.45856482,0.00027835768,relu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
800,0.002844959916546941,0.0028435164,0.95450246,0.0026309583336114883,0.002629507,0.9618302,relu,128,800,mean_absolute_error,RMSProp
800,5.563334739741145e-05,0.004579249,0.90194005,5.0543094403110445e-05,0.0043704454,0.91677105,elu,64,800,mean_squared_error,Nadam
800,0.4446732571831456,0.444673,0.00031998707,0.445233553647995,0.44523332,0.00027835768,elu,64,800,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
1200,0.6829579940548649,0.45364776,0.00019157802,0.6829512119293213,0.45417204,0.00024356297,relu,64,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
1200,0.0017441012094625168,0.001742926,0.98033535,0.0016956105828285217,0.0016944336,0.9806541,elu,64,1200,mean_absolute_error,Nadam
800,0.20640183300883683,0.45224681,0.00016543022,0.20683492720127106,0.45279515,0.00020876827,elu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,6.191858771705517e-05,0.00471305,0.893337,5.4004773119231686e-05,0.0043856697,0.90974253,relu,64,800,mean_squared_error,Nadam
800,0.0036529456696438567,0.003651315,0.93101513,0.0034527615644037724,0.0034511306,0.93907446,relu,128,800,mean_absolute_error,Adam
800,0.0032303539829121697,0.003228668,0.9452999,0.0030373374465852976,0.003035646,0.95156574,elu,128,800,mean_absolute_error,Adam
1200,0.6398769643571641,0.4288749,0.0003112884,0.6400415301322937,0.4295338,0.00027835768,elu,128,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
1200,0.0019838317073191756,0.0019828696,0.9768501,0.0018954299157485366,0.0018944652,0.9781141,relu,64,1200,mean_absolute_error,Nadam
1200,0.15499724469802997,0.002379266,0.9690943,0.15370585024356842,0.002242115,0.97205985,relu,64,1200,binary_crossentropy,Nadam
